id,container id,scenario,background,illumination,width at the top,width at the bottom,height,depth,container capacity,container mass,filling type,filling level,filling density,filling mass,object mass,handover starting frame,handover start timestamp,handover hand,audio_file,rgb_view1,rgb_view2,rgb_view3,rgb_view4
13,6,1,1,0,49.0,59.0,175.0,-1.0,128.0,15.0,1,1,0.34,22.0,37.0,-1,-1,-1,data/train/audio/000013.wav,data/train/view1/rgb/000013.mp4,data/train/view2/rgb/000013.mp4,data/train/view3/rgb/000013.mp4,data/train/view4/rgb/000013.mp4
14,8,1,1,0,135.0,135.0,164.0,56.0,1239.84,31.0,0,0,0.0,0.0,31.0,-1,-1,-1,data/train/audio/000014.wav,data/train/view1/rgb/000014.mp4,data/train/view2/rgb/000014.mp4,data/train/view3/rgb/000014.mp4,data/train/view4/rgb/000014.mp4
15,2,1,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,1,1,0.34,35.0,37.0,-1,-1,-1,data/train/audio/000015.wav,data/train/view1/rgb/000015.mp4,data/train/view2/rgb/000015.mp4,data/train/view3/rgb/000015.mp4,data/train/view4/rgb/000015.mp4
16,5,0,1,1,81.0,67.0,136.0,-1.0,363.0,134.0,2,2,0.82,262.0,396.0,-1,-1,-1,data/train/audio/000016.wav,data/train/view1/rgb/000016.mp4,data/train/view2/rgb/000016.mp4,data/train/view3/rgb/000016.mp4,data/train/view4/rgb/000016.mp4
17,9,2,1,0,80.0,80.0,131.0,45.0,471.6,15.0,0,0,0.0,0.0,15.0,-1,-1,-1,data/train/audio/000017.wav,data/train/view1/rgb/000017.mp4,data/train/view2/rgb/000017.mp4,data/train/view3/rgb/000017.mp4,data/train/view4/rgb/000017.mp4
18,5,2,0,0,81.0,67.0,136.0,-1.0,363.0,134.0,2,2,0.82,262.0,396.0,-1,-1,-1,data/train/audio/000018.wav,data/train/view1/rgb/000018.mp4,data/train/view2/rgb/000018.mp4,data/train/view3/rgb/000018.mp4,data/train/view4/rgb/000018.mp4
19,8,2,0,1,135.0,135.0,164.0,56.0,1239.84,31.0,1,2,0.34,478.0,509.0,-1,-1,-1,data/train/audio/000019.wav,data/train/view1/rgb/000019.mp4,data/train/view2/rgb/000019.mp4,data/train/view3/rgb/000019.mp4,data/train/view4/rgb/000019.mp4
20,6,1,0,1,49.0,59.0,175.0,-1.0,128.0,15.0,2,2,0.82,95.0,110.0,-1,-1,-1,data/train/audio/000020.wav,data/train/view1/rgb/000020.mp4,data/train/view2/rgb/000020.mp4,data/train/view3/rgb/000020.mp4,data/train/view4/rgb/000020.mp4
21,4,0,0,1,88.0,56.0,91.0,-1.0,296.0,86.0,2,1,0.82,122.0,208.0,-1,-1,-1,data/train/audio/000021.wav,data/train/view1/rgb/000021.mp4,data/train/view2/rgb/000021.mp4,data/train/view3/rgb/000021.mp4,data/train/view4/rgb/000021.mp4
22,5,1,1,1,81.0,67.0,136.0,-1.0,363.0,134.0,1,2,0.34,128.0,262.0,-1,-1,-1,data/train/audio/000022.wav,data/train/view1/rgb/000022.mp4,data/train/view2/rgb/000022.mp4,data/train/view3/rgb/000022.mp4,data/train/view4/rgb/000022.mp4
23,3,2,0,0,69.0,39.0,85.0,-1.0,202.0,3.0,1,2,0.34,66.0,69.0,-1,-1,-1,data/train/audio/000023.wav,data/train/view1/rgb/000023.mp4,data/train/view2/rgb/000023.mp4,data/train/view3/rgb/000023.mp4,data/train/view4/rgb/000023.mp4
24,9,2,0,1,80.0,80.0,131.0,45.0,471.6,15.0,1,1,0.34,89.0,104.0,-1,-1,-1,data/train/audio/000024.wav,data/train/view1/rgb/000024.mp4,data/train/view2/rgb/000024.mp4,data/train/view3/rgb/000024.mp4,data/train/view4/rgb/000024.mp4
25,6,1,0,0,49.0,59.0,175.0,-1.0,128.0,15.0,3,2,1.0,115.0,130.0,-1,-1,-1,data/train/audio/000025.wav,data/train/view1/rgb/000025.mp4,data/train/view2/rgb/000025.mp4,data/train/view3/rgb/000025.mp4,data/train/view4/rgb/000025.mp4
26,3,0,1,0,69.0,39.0,85.0,-1.0,202.0,3.0,3,2,1.0,182.0,185.0,-1,-1,-1,data/train/audio/000026.wav,data/train/view1/rgb/000026.mp4,data/train/view2/rgb/000026.mp4,data/train/view3/rgb/000026.mp4,data/train/view4/rgb/000026.mp4
27,6,2,1,1,49.0,59.0,175.0,-1.0,128.0,15.0,2,1,0.82,53.0,68.0,-1,-1,-1,data/train/audio/000027.wav,data/train/view1/rgb/000027.mp4,data/train/view2/rgb/000027.mp4,data/train/view3/rgb/000027.mp4,data/train/view4/rgb/000027.mp4
28,9,1,0,1,80.0,80.0,131.0,45.0,471.6,15.0,1,1,0.34,89.0,104.0,-1,-1,-1,data/train/audio/000028.wav,data/train/view1/rgb/000028.mp4,data/train/view2/rgb/000028.mp4,data/train/view3/rgb/000028.mp4,data/train/view4/rgb/000028.mp4
29,2,0,0,1,69.0,42.0,72.0,-1.0,185.0,2.0,2,2,0.82,137.0,139.0,-1,-1,-1,data/train/audio/000029.wav,data/train/view1/rgb/000029.mp4,data/train/view2/rgb/000029.mp4,data/train/view3/rgb/000029.mp4,data/train/view4/rgb/000029.mp4
30,5,1,1,0,81.0,67.0,136.0,-1.0,363.0,134.0,1,1,0.34,71.0,205.0,-1,-1,-1,data/train/audio/000030.wav,data/train/view1/rgb/000030.mp4,data/train/view2/rgb/000030.mp4,data/train/view3/rgb/000030.mp4,data/train/view4/rgb/000030.mp4
31,3,1,1,0,69.0,39.0,85.0,-1.0,202.0,3.0,1,1,0.34,36.0,39.0,-1,-1,-1,data/train/audio/000031.wav,data/train/view1/rgb/000031.mp4,data/train/view2/rgb/000031.mp4,data/train/view3/rgb/000031.mp4,data/train/view4/rgb/000031.mp4
32,8,1,0,0,135.0,135.0,164.0,56.0,1239.84,31.0,2,1,0.82,602.0,633.0,-1,-1,-1,data/train/audio/000032.wav,data/train/view1/rgb/000032.mp4,data/train/view2/rgb/000032.mp4,data/train/view3/rgb/000032.mp4,data/train/view4/rgb/000032.mp4
33,3,1,0,0,69.0,39.0,85.0,-1.0,202.0,3.0,1,1,0.34,36.0,39.0,-1,-1,-1,data/train/audio/000033.wav,data/train/view1/rgb/000033.mp4,data/train/view2/rgb/000033.mp4,data/train/view3/rgb/000033.mp4,data/train/view4/rgb/000033.mp4
34,7,1,1,1,193.0,193.0,241.0,69.0,3209.397,59.0,2,1,0.82,1489.0,1548.0,-1,-1,-1,data/train/audio/000034.wav,data/train/view1/rgb/000034.mp4,data/train/view2/rgb/000034.mp4,data/train/view3/rgb/000034.mp4,data/train/view4/rgb/000034.mp4
35,3,0,0,1,69.0,39.0,85.0,-1.0,202.0,3.0,2,1,0.82,82.0,85.0,-1,-1,-1,data/train/audio/000035.wav,data/train/view1/rgb/000035.mp4,data/train/view2/rgb/000035.mp4,data/train/view3/rgb/000035.mp4,data/train/view4/rgb/000035.mp4
36,2,0,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,0,0,0.0,0.0,2.0,-1,-1,-1,data/train/audio/000036.wav,data/train/view1/rgb/000036.mp4,data/train/view2/rgb/000036.mp4,data/train/view3/rgb/000036.mp4,data/train/view4/rgb/000036.mp4
37,2,1,0,1,69.0,42.0,72.0,-1.0,185.0,2.0,3,2,1.0,167.0,169.0,-1,-1,-1,data/train/audio/000037.wav,data/train/view1/rgb/000037.mp4,data/train/view2/rgb/000037.mp4,data/train/view3/rgb/000037.mp4,data/train/view4/rgb/000037.mp4
38,8,2,0,0,135.0,135.0,164.0,56.0,1239.84,31.0,1,2,0.34,478.0,509.0,-1,-1,-1,data/train/audio/000038.wav,data/train/view1/rgb/000038.mp4,data/train/view2/rgb/000038.mp4,data/train/view3/rgb/000038.mp4,data/train/view4/rgb/000038.mp4
39,2,2,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,2,2,0.82,137.0,139.0,-1,-1,-1,data/train/audio/000039.wav,data/train/view1/rgb/000039.mp4,data/train/view2/rgb/000039.mp4,data/train/view3/rgb/000039.mp4,data/train/view4/rgb/000039.mp4
40,5,0,1,1,81.0,67.0,136.0,-1.0,363.0,134.0,1,1,0.34,71.0,205.0,-1,-1,-1,data/train/audio/000040.wav,data/train/view1/rgb/000040.mp4,data/train/view2/rgb/000040.mp4,data/train/view3/rgb/000040.mp4,data/train/view4/rgb/000040.mp4
41,4,0,1,1,88.0,56.0,91.0,-1.0,296.0,86.0,0,0,0.0,0.0,86.0,-1,-1,-1,data/train/audio/000041.wav,data/train/view1/rgb/000041.mp4,data/train/view2/rgb/000041.mp4,data/train/view3/rgb/000041.mp4,data/train/view4/rgb/000041.mp4
42,4,2,1,0,88.0,56.0,91.0,-1.0,296.0,86.0,0,0,0.0,0.0,86.0,-1,-1,-1,data/train/audio/000042.wav,data/train/view1/rgb/000042.mp4,data/train/view2/rgb/000042.mp4,data/train/view3/rgb/000042.mp4,data/train/view4/rgb/000042.mp4
43,1,1,0,1,98.0,61.0,119.0,-1.0,520.0,10.0,2,1,0.82,222.0,232.0,-1,-1,-1,data/train/audio/000043.wav,data/train/view1/rgb/000043.mp4,data/train/view2/rgb/000043.mp4,data/train/view3/rgb/000043.mp4,data/train/view4/rgb/000043.mp4
44,7,0,0,0,193.0,193.0,241.0,69.0,3209.397,59.0,1,2,0.34,1291.0,1350.0,-1,-1,-1,data/train/audio/000044.wav,data/train/view1/rgb/000044.mp4,data/train/view2/rgb/000044.mp4,data/train/view3/rgb/000044.mp4,data/train/view4/rgb/000044.mp4
45,1,1,1,0,98.0,61.0,119.0,-1.0,520.0,10.0,2,1,0.82,222.0,232.0,-1,-1,-1,data/train/audio/000045.wav,data/train/view1/rgb/000045.mp4,data/train/view2/rgb/000045.mp4,data/train/view3/rgb/000045.mp4,data/train/view4/rgb/000045.mp4
46,8,1,0,1,135.0,135.0,164.0,56.0,1239.84,31.0,0,0,0.0,0.0,31.0,-1,-1,-1,data/train/audio/000046.wav,data/train/view1/rgb/000046.mp4,data/train/view2/rgb/000046.mp4,data/train/view3/rgb/000046.mp4,data/train/view4/rgb/000046.mp4
47,9,1,0,0,80.0,80.0,131.0,45.0,471.6,15.0,1,2,0.34,159.0,174.0,-1,-1,-1,data/train/audio/000047.wav,data/train/view1/rgb/000047.mp4,data/train/view2/rgb/000047.mp4,data/train/view3/rgb/000047.mp4,data/train/view4/rgb/000047.mp4
48,7,0,1,1,193.0,193.0,241.0,69.0,3209.397,59.0,1,2,0.34,1291.0,1350.0,-1,-1,-1,data/train/audio/000048.wav,data/train/view1/rgb/000048.mp4,data/train/view2/rgb/000048.mp4,data/train/view3/rgb/000048.mp4,data/train/view4/rgb/000048.mp4
49,1,0,1,0,98.0,61.0,119.0,-1.0,520.0,10.0,0,0,0.0,0.0,10.0,-1,-1,-1,data/train/audio/000049.wav,data/train/view1/rgb/000049.mp4,data/train/view2/rgb/000049.mp4,data/train/view3/rgb/000049.mp4,data/train/view4/rgb/000049.mp4
50,4,1,0,0,88.0,56.0,91.0,-1.0,296.0,86.0,3,2,1.0,266.0,352.0,-1,-1,-1,data/train/audio/000050.wav,data/train/view1/rgb/000050.mp4,data/train/view2/rgb/000050.mp4,data/train/view3/rgb/000050.mp4,data/train/view4/rgb/000050.mp4
51,9,1,1,1,80.0,80.0,131.0,45.0,471.6,15.0,1,1,0.34,89.0,104.0,-1,-1,-1,data/train/audio/000051.wav,data/train/view1/rgb/000051.mp4,data/train/view2/rgb/000051.mp4,data/train/view3/rgb/000051.mp4,data/train/view4/rgb/000051.mp4
52,2,1,0,1,69.0,42.0,72.0,-1.0,185.0,2.0,3,1,1.0,93.0,95.0,-1,-1,-1,data/train/audio/000052.wav,data/train/view1/rgb/000052.mp4,data/train/view2/rgb/000052.mp4,data/train/view3/rgb/000052.mp4,data/train/view4/rgb/000052.mp4
53,4,0,1,0,88.0,56.0,91.0,-1.0,296.0,86.0,3,1,1.0,148.0,234.0,-1,-1,-1,data/train/audio/000053.wav,data/train/view1/rgb/000053.mp4,data/train/view2/rgb/000053.mp4,data/train/view3/rgb/000053.mp4,data/train/view4/rgb/000053.mp4
54,1,2,1,1,98.0,61.0,119.0,-1.0,520.0,10.0,0,0,0.0,0.0,10.0,-1,-1,-1,data/train/audio/000054.wav,data/train/view1/rgb/000054.mp4,data/train/view2/rgb/000054.mp4,data/train/view3/rgb/000054.mp4,data/train/view4/rgb/000054.mp4
55,5,0,0,1,81.0,67.0,136.0,-1.0,363.0,134.0,1,1,0.34,71.0,205.0,-1,-1,-1,data/train/audio/000055.wav,data/train/view1/rgb/000055.mp4,data/train/view2/rgb/000055.mp4,data/train/view3/rgb/000055.mp4,data/train/view4/rgb/000055.mp4
56,8,1,0,0,135.0,135.0,164.0,56.0,1239.84,31.0,2,2,0.82,1084.0,1115.0,-1,-1,-1,data/train/audio/000056.wav,data/train/view1/rgb/000056.mp4,data/train/view2/rgb/000056.mp4,data/train/view3/rgb/000056.mp4,data/train/view4/rgb/000056.mp4
57,7,1,0,1,193.0,193.0,241.0,69.0,3209.397,59.0,2,1,0.82,1489.0,1548.0,-1,-1,-1,data/train/audio/000057.wav,data/train/view1/rgb/000057.mp4,data/train/view2/rgb/000057.mp4,data/train/view3/rgb/000057.mp4,data/train/view4/rgb/000057.mp4
58,4,2,1,1,88.0,56.0,91.0,-1.0,296.0,86.0,2,2,0.82,219.0,305.0,-1,-1,-1,data/train/audio/000058.wav,data/train/view1/rgb/000058.mp4,data/train/view2/rgb/000058.mp4,data/train/view3/rgb/000058.mp4,data/train/view4/rgb/000058.mp4
59,7,1,1,1,193.0,193.0,241.0,69.0,3209.397,59.0,1,1,0.34,717.0,776.0,-1,-1,-1,data/train/audio/000059.wav,data/train/view1/rgb/000059.mp4,data/train/view2/rgb/000059.mp4,data/train/view3/rgb/000059.mp4,data/train/view4/rgb/000059.mp4
60,8,1,0,0,135.0,135.0,164.0,56.0,1239.84,31.0,1,2,0.34,478.0,509.0,-1,-1,-1,data/train/audio/000060.wav,data/train/view1/rgb/000060.mp4,data/train/view2/rgb/000060.mp4,data/train/view3/rgb/000060.mp4,data/train/view4/rgb/000060.mp4
61,8,2,1,1,135.0,135.0,164.0,56.0,1239.84,31.0,2,2,0.82,1084.0,1115.0,-1,-1,-1,data/train/audio/000061.wav,data/train/view1/rgb/000061.mp4,data/train/view2/rgb/000061.mp4,data/train/view3/rgb/000061.mp4,data/train/view4/rgb/000061.mp4
62,6,0,0,1,49.0,59.0,175.0,-1.0,128.0,15.0,3,2,1.0,115.0,130.0,-1,-1,-1,data/train/audio/000062.wav,data/train/view1/rgb/000062.mp4,data/train/view2/rgb/000062.mp4,data/train/view3/rgb/000062.mp4,data/train/view4/rgb/000062.mp4
63,9,1,1,0,80.0,80.0,131.0,45.0,471.6,15.0,1,2,0.34,159.0,174.0,-1,-1,-1,data/train/audio/000063.wav,data/train/view1/rgb/000063.mp4,data/train/view2/rgb/000063.mp4,data/train/view3/rgb/000063.mp4,data/train/view4/rgb/000063.mp4
64,3,1,1,0,69.0,39.0,85.0,-1.0,202.0,3.0,2,2,0.82,147.6,150.6,-1,-1,-1,data/train/audio/000064.wav,data/train/view1/rgb/000064.mp4,data/train/view2/rgb/000064.mp4,data/train/view3/rgb/000064.mp4,data/train/view4/rgb/000064.mp4
65,1,0,0,0,98.0,61.0,119.0,-1.0,520.0,10.0,1,2,0.34,195.0,205.0,-1,-1,-1,data/train/audio/000065.wav,data/train/view1/rgb/000065.mp4,data/train/view2/rgb/000065.mp4,data/train/view3/rgb/000065.mp4,data/train/view4/rgb/000065.mp4
66,6,1,0,0,49.0,59.0,175.0,-1.0,128.0,15.0,0,0,0.0,0.0,15.0,-1,-1,-1,data/train/audio/000066.wav,data/train/view1/rgb/000066.mp4,data/train/view2/rgb/000066.mp4,data/train/view3/rgb/000066.mp4,data/train/view4/rgb/000066.mp4
67,1,1,0,0,98.0,61.0,119.0,-1.0,520.0,10.0,2,2,0.82,399.0,409.0,-1,-1,-1,data/train/audio/000067.wav,data/train/view1/rgb/000067.mp4,data/train/view2/rgb/000067.mp4,data/train/view3/rgb/000067.mp4,data/train/view4/rgb/000067.mp4
68,3,0,0,1,69.0,39.0,85.0,-1.0,202.0,3.0,2,2,0.82,147.6,150.6,-1,-1,-1,data/train/audio/000068.wav,data/train/view1/rgb/000068.mp4,data/train/view2/rgb/000068.mp4,data/train/view3/rgb/000068.mp4,data/train/view4/rgb/000068.mp4
69,5,1,1,0,81.0,67.0,136.0,-1.0,363.0,134.0,2,1,0.82,146.0,280.0,-1,-1,-1,data/train/audio/000069.wav,data/train/view1/rgb/000069.mp4,data/train/view2/rgb/000069.mp4,data/train/view3/rgb/000069.mp4,data/train/view4/rgb/000069.mp4
70,2,0,0,1,69.0,42.0,72.0,-1.0,185.0,2.0,3,1,1.0,93.0,95.0,-1,-1,-1,data/train/audio/000070.wav,data/train/view1/rgb/000070.mp4,data/train/view2/rgb/000070.mp4,data/train/view3/rgb/000070.mp4,data/train/view4/rgb/000070.mp4
71,1,2,1,1,98.0,61.0,119.0,-1.0,520.0,10.0,3,1,1.0,260.0,270.0,-1,-1,-1,data/train/audio/000071.wav,data/train/view1/rgb/000071.mp4,data/train/view2/rgb/000071.mp4,data/train/view3/rgb/000071.mp4,data/train/view4/rgb/000071.mp4
72,1,1,1,1,98.0,61.0,119.0,-1.0,520.0,10.0,1,2,0.34,195.0,205.0,-1,-1,-1,data/train/audio/000072.wav,data/train/view1/rgb/000072.mp4,data/train/view2/rgb/000072.mp4,data/train/view3/rgb/000072.mp4,data/train/view4/rgb/000072.mp4
73,1,2,1,1,98.0,61.0,119.0,-1.0,520.0,10.0,2,1,0.82,222.0,232.0,-1,-1,-1,data/train/audio/000073.wav,data/train/view1/rgb/000073.mp4,data/train/view2/rgb/000073.mp4,data/train/view3/rgb/000073.mp4,data/train/view4/rgb/000073.mp4
74,1,0,1,1,98.0,61.0,119.0,-1.0,520.0,10.0,2,1,0.82,222.0,232.0,-1,-1,-1,data/train/audio/000074.wav,data/train/view1/rgb/000074.mp4,data/train/view2/rgb/000074.mp4,data/train/view3/rgb/000074.mp4,data/train/view4/rgb/000074.mp4
75,6,1,0,0,49.0,59.0,175.0,-1.0,128.0,15.0,1,1,0.34,22.0,37.0,-1,-1,-1,data/train/audio/000075.wav,data/train/view1/rgb/000075.mp4,data/train/view2/rgb/000075.mp4,data/train/view3/rgb/000075.mp4,data/train/view4/rgb/000075.mp4
76,5,1,0,1,81.0,67.0,136.0,-1.0,363.0,134.0,2,2,0.82,262.0,396.0,-1,-1,-1,data/train/audio/000076.wav,data/train/view1/rgb/000076.mp4,data/train/view2/rgb/000076.mp4,data/train/view3/rgb/000076.mp4,data/train/view4/rgb/000076.mp4
77,6,2,1,0,49.0,59.0,175.0,-1.0,128.0,15.0,0,0,0.0,0.0,15.0,-1,-1,-1,data/train/audio/000077.wav,data/train/view1/rgb/000077.mp4,data/train/view2/rgb/000077.mp4,data/train/view3/rgb/000077.mp4,data/train/view4/rgb/000077.mp4
78,1,0,1,0,98.0,61.0,119.0,-1.0,520.0,10.0,1,1,0.34,109.0,119.0,-1,-1,-1,data/train/audio/000078.wav,data/train/view1/rgb/000078.mp4,data/train/view2/rgb/000078.mp4,data/train/view3/rgb/000078.mp4,data/train/view4/rgb/000078.mp4
79,5,1,0,1,81.0,67.0,136.0,-1.0,363.0,134.0,2,1,0.82,146.0,280.0,-1,-1,-1,data/train/audio/000079.wav,data/train/view1/rgb/000079.mp4,data/train/view2/rgb/000079.mp4,data/train/view3/rgb/000079.mp4,data/train/view4/rgb/000079.mp4
80,8,2,1,1,135.0,135.0,164.0,56.0,1239.84,31.0,2,1,0.82,602.0,633.0,-1,-1,-1,data/train/audio/000080.wav,data/train/view1/rgb/000080.mp4,data/train/view2/rgb/000080.mp4,data/train/view3/rgb/000080.mp4,data/train/view4/rgb/000080.mp4
81,2,2,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,3,2,1.0,167.0,169.0,-1,-1,-1,data/train/audio/000081.wav,data/train/view1/rgb/000081.mp4,data/train/view2/rgb/000081.mp4,data/train/view3/rgb/000081.mp4,data/train/view4/rgb/000081.mp4
82,7,1,0,1,193.0,193.0,241.0,69.0,3209.397,59.0,0,0,0.0,0.0,59.0,-1,-1,-1,data/train/audio/000082.wav,data/train/view1/rgb/000082.mp4,data/train/view2/rgb/000082.mp4,data/train/view3/rgb/000082.mp4,data/train/view4/rgb/000082.mp4
83,4,2,0,0,88.0,56.0,91.0,-1.0,296.0,86.0,2,2,0.82,219.0,305.0,-1,-1,-1,data/train/audio/000083.wav,data/train/view1/rgb/000083.mp4,data/train/view2/rgb/000083.mp4,data/train/view3/rgb/000083.mp4,data/train/view4/rgb/000083.mp4
84,1,2,1,0,98.0,61.0,119.0,-1.0,520.0,10.0,3,2,1.0,468.0,478.0,-1,-1,-1,data/train/audio/000084.wav,data/train/view1/rgb/000084.mp4,data/train/view2/rgb/000084.mp4,data/train/view3/rgb/000084.mp4,data/train/view4/rgb/000084.mp4
85,4,2,1,0,88.0,56.0,91.0,-1.0,296.0,86.0,1,2,0.34,89.0,175.0,-1,-1,-1,data/train/audio/000085.wav,data/train/view1/rgb/000085.mp4,data/train/view2/rgb/000085.mp4,data/train/view3/rgb/000085.mp4,data/train/view4/rgb/000085.mp4
86,2,0,1,0,69.0,42.0,72.0,-1.0,185.0,2.0,1,1,0.34,35.0,37.0,-1,-1,-1,data/train/audio/000086.wav,data/train/view1/rgb/000086.mp4,data/train/view2/rgb/000086.mp4,data/train/view3/rgb/000086.mp4,data/train/view4/rgb/000086.mp4
87,3,1,0,1,69.0,39.0,85.0,-1.0,202.0,3.0,2,2,0.82,147.6,150.6,-1,-1,-1,data/train/audio/000087.wav,data/train/view1/rgb/000087.mp4,data/train/view2/rgb/000087.mp4,data/train/view3/rgb/000087.mp4,data/train/view4/rgb/000087.mp4
88,7,0,0,1,193.0,193.0,241.0,69.0,3209.397,59.0,1,1,0.34,717.0,776.0,-1,-1,-1,data/train/audio/000088.wav,data/train/view1/rgb/000088.mp4,data/train/view2/rgb/000088.mp4,data/train/view3/rgb/000088.mp4,data/train/view4/rgb/000088.mp4
89,4,0,1,0,88.0,56.0,91.0,-1.0,296.0,86.0,0,0,0.0,0.0,86.0,-1,-1,-1,data/train/audio/000089.wav,data/train/view1/rgb/000089.mp4,data/train/view2/rgb/000089.mp4,data/train/view3/rgb/000089.mp4,data/train/view4/rgb/000089.mp4
90,9,1,0,0,80.0,80.0,131.0,45.0,471.6,15.0,0,0,0.0,0.0,15.0,-1,-1,-1,data/train/audio/000090.wav,data/train/view1/rgb/000090.mp4,data/train/view2/rgb/000090.mp4,data/train/view3/rgb/000090.mp4,data/train/view4/rgb/000090.mp4
91,9,1,1,0,80.0,80.0,131.0,45.0,471.6,15.0,1,1,0.34,89.0,104.0,-1,-1,-1,data/train/audio/000091.wav,data/train/view1/rgb/000091.mp4,data/train/view2/rgb/000091.mp4,data/train/view3/rgb/000091.mp4,data/train/view4/rgb/000091.mp4
92,3,1,0,0,69.0,39.0,85.0,-1.0,202.0,3.0,1,2,0.34,66.0,69.0,-1,-1,-1,data/train/audio/000092.wav,data/train/view1/rgb/000092.mp4,data/train/view2/rgb/000092.mp4,data/train/view3/rgb/000092.mp4,data/train/view4/rgb/000092.mp4
93,6,2,1,1,49.0,59.0,175.0,-1.0,128.0,15.0,3,2,1.0,115.0,130.0,-1,-1,-1,data/train/audio/000093.wav,data/train/view1/rgb/000093.mp4,data/train/view2/rgb/000093.mp4,data/train/view3/rgb/000093.mp4,data/train/view4/rgb/000093.mp4
